Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 2885,Super Fast Non AC Seater (2+3),09:50,15:01,05h 11m,220.0,41 Seats available,1.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2567,Super Fast Non AC Seater (2+3),10:05,16:30,06h 25m,261.0,43 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
KSRTC (Kerala) - 2371,Low Floor AC Seater 2+2,10:30,15:49,05h 19m,383.0,8 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,A/C Semi Sleeper (2+2),00:15,06:15,06h 00m,599.0,2 Seats available,4.3,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Madhavi Travels,A/C Sleeper (2+1),01:30,06:15,04h 45m,799.0,3 Seats available,4.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,800.0,9 Seats available,3.4,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,650.0,12 Seats available,3.7,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Galaxy Tours,Bharat Benz A/C Semi Sleeper (2+2),21:45,02:00,04h 15m,800.0,29 Seats available,3.5,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
Ubc travels,A/C Semi Sleeper (2+2),20:40,01:00,04h 20m,700.0,1 Seat available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Cochin Express,Bharat Benz A/C Semi Sleeper (2+2),21:25,02:25,05h 00m,899.0,11 Seats available,4.3,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
UFO Bus,Volvo A/C Semi Sleeper (2+2),21:45,02:40,04h 55m,670.0,1 Seat available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,03:00,05h 00m,600.0,1 Seat available,4.5,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Capital Travels,A/C Seater (2+2),22:00,03:00,05h 00m,899.0,5 Seats available,5.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05:30,05h 31m,900.0,16 Seats available,3.6,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05:00,05h 01m,800.0,7 Seats available,3.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),01:25,04:30,03h 05m,799.0,14 Seats available,1.0,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
A1 Travels,A/C Seater / Sleeper (2+1),01:30,07:00,05h 30m,650.0,15 Seats available,1.9,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
Holy Maria Travels,A/C Semi Sleeper (2+2),20:10,01:30,05h 20m,700.0,22 Seats available,2.7,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),07:40,12:40,05h 00m,699.0,34 Seats available,5.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),12:15,18:35,06h 20m,599.0,36 Seats available,4.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
A1 Travels,A/C Seater / Sleeper (2+1),20:00,04:00,08h 00m,700.0,29 Seats available,3.2,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
National travels and logistics,NON A/C Sleeper (2+1),20:45,04:00,07h 15m,799.0,16 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,700.0,13 Seats available,3.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,04:00,06h 15m,700.0,21 Seats available,3.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),03:30,09:00,05h 30m,550.0,3 Seats available,2.8,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,04:00,07h 00m,799.0,30 Seats available,2.1,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
Orange Tours And Travels,Bharat Benz A/C Sleeper (2+1),14:00,20:30,06h 30m,3100.0,13 Seats available,3.3,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
SAAM BUS,VE A/C Sleeper (2+1),20:30,04:00,07h 30m,900.0,8 Seats available,4.0,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
KSRTC (Kerala) - 102,Swift Deluxe Non AC Air Bus (2+2),07:30,16:20,08h 50m,579.0,3 Seats available,4.7,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 2166,Super Express Non AC Seater Air Bus (2+2),07:50,16:03,08h 13m,548.0,22 Seats available,4.3,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
KSRTC (Kerala) - 1766,Super Express Non AC Seater Air Bus (2+2),20:15,04:25,08h 10m,568.0,7 Seats available,4.4,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
Ashoka Travel and Logistics,A/C Sleeper (2+1),21:15,05:30,08h 15m,1000.0,10 Seats available,4.4,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
NS Transports,A/C Sleeper (2+1),21:15,05:30,08h 15m,999.0,10 Seats available,4.4,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
